FID;F_NAME;F_TYPE;ADDRESS;CITY;EASTING;NORTHING;COMMENTS;ZIPCODE;CREATE_DAT;MODIFY_DAT;AUDIT_DATE;geo_shape;geo_point_2d
296;Walmart Supercenter;Supermarket;1011 US 72 Hwy;Athens;318265.19588;1562206.46423;Grocery;35611;2017-01-04T06:30:00+05:30;;;"{""coordinates"": [-86.95868574733193, 34.78864842343445], ""type"": ""Point""}";34.78864842343445, -86.95868574733193
73;Rocket Quick Stop;Convenience Store;5208 Moores Mill Rd;Huntsville;445280.384434;1564443.09821;Convenience Store;35811;;;;"{""coordinates"": [-86.53576285223483, 34.7979693015865], ""type"": ""Point""}";34.7979693015865, -86.53576285223483
9;International Supermarket;Specialty;8006 Old Madison Pike;Madison;389378.766251;1531881.29424;Grocery;35758;;;;"{""coordinates"": [-86.72098572293193, 34.707294815951336], ""type"": ""Point""}";34.707294815951336, -86.72098572293193
93;Walmart Supercenter;Supermarket;3031 Memorial Pky SW;Huntsville;430092.745846;1529972.72358;Grocery;35801;;;;"{""coordinates"": [-86.58548733821291, 34.7029626523931], ""type"": ""Point""}";34.7029626523931, -86.58548733821291
75;Sunoco Busy Bee;Convenience Store;8000 Memorial Pwy SW;Huntsville;434291.575375;1514422.92529;Convenience Store;35802;;;;"{""coordinates"": [-86.57113977481744, 34.66032580916023], ""type"": ""Point""}";34.66032580916023, -86.57113977481744
209;Propst Discount Drugs;Drugstore;717 Pratt Ave NE Unit A;Huntsville;433081.850104;1543087.96507;Drug and General Merchandise;35801;;;;"{""coordinates"": [-86.57586539840926, 34.7390568058404], ""type"": ""Point""}";34.7390568058404, -86.57586539840926
102;Atlantis Corner;Convenience Store;1176 Old Monrovia Rd NW;Huntsville;404560.64796;1546347.83289;Convenience Store;35806;;;;"{""coordinates"": [-86.67087880748859, 34.74739712339647], ""type"": ""Point""}";34.74739712339647, -86.67087880748859
244;Family Dollar;Variety Store;2501 Jordan Ln NW;Huntsville;413807.719033;1549455.41297;Variety Store;35816;;;;"{""coordinates"": [-86.64018314087319, 34.75614259267887], ""type"": ""Point""}";34.75614259267887, -86.64018314087319
17;La Congeneida Mexican Supermarket;Specialty;2998 Governors Dr SW;Huntsville;424045.800919;1536341.67344;Grocery;35805;;;;"{""coordinates"": [-86.60576663375038, 34.72033495355217], ""type"": ""Point""}";34.72033495355217, -86.60576663375038
114;CVS;Drugstore;2525 Oakwood Ave NW;Huntsville;423062.476114;1546737.18809;Drug and General Merchandise;35810;;;;"{""coordinates"": [-86.6093055161392, 34.74887480335944], ""type"": ""Point""}";34.74887480335944, -86.6093055161392
